2018-06-04T19:10:00,207 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-06-04T19:10:00,219 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-06-04T19:10:00,220 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-06-04T19:10:00,280 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-06-04T19:10:00,284 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-04T19:10:00,296 [main] INFO  (AbstractTestContextBootstrapper.java:187) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2accdbb5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@b62d79, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6631f5ca, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5ace1ed4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1613674b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@27ff5d15, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4e096385, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@649bec2e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@693fe6c9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@34f5090e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@31e5415e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@a2431d0]
2018-06-04T19:10:00,299 [main] INFO  (AbstractTestContextBootstrapper.java:319) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests], using SpringBootContextLoader
2018-06-04T19:10:00,300 [main] INFO  (AbstractContextLoader.java:264) - Could not detect default resource locations for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-06-04T19:10:00,301 [main] INFO  (AnnotationConfigContextLoaderUtils.java:81) - Could not detect default configuration classes for test class [com.aptus.blackbox.BlackBoxReloadedApplicationTests]: BlackBoxReloadedApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-06-04T19:10:00,304 [main] INFO  (SpringBootTestContextBootstrapper.java:206) - Found @SpringBootConfiguration com.aptus.blackbox.BlackBoxReloadedApp for test class com.aptus.blackbox.BlackBoxReloadedApplicationTests
2018-06-04T19:10:00,307 [main] INFO  (AbstractTestContextBootstrapper.java:260) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
